city,mean_absolute_error,mean_squared_error,r_squared
Alfonso (Before Validation),0.040489321589246896,0.002984428693009762,0.9986889753389208
Amadeo (Before Validation),0.04320233419763475,0.008403844863679148,0.9964689228159385
Carmona (Before Validation),0.05958793636988955,0.009924647427802127,0.9975108693141487
Bacoor (Before Validation),0.06382044505548425,0.00845880669471508,0.9979801828532502
Cavite City (Before Validation),0.04692705173112888,0.005120023478500038,0.9964298394649168
Dasmariñas (Before Validation),0.0620745020696341,0.01278732172103064,0.9971170606254312
General Mariano Alvarez (Before Validation),0.05483895443246602,0.01153777741316297,0.9970201659706599
General Trias (Before Validation),0.07831090797478696,0.01538823112701612,0.9969187075379982
Imus (Before Validation),0.06559044166644291,0.00806138363844681,0.998058240223286
Indang (Before Validation),0.04451405035261591,0.005474485790811486,0.9976994713889616
Kawit (Before Validation),0.06675387404571517,0.008922166676915037,0.9978769501413832
Magallanes (Before Validation),0.0647310568718319,0.008356786553476598,0.9978471671427424
Maragondon (Before Validation),0.05742450122388296,0.00970533573373115,0.9959381955451019
Mendez (Before Validation),0.03252883212916978,0.001786556099380025,0.999084740733519
Naic (Before Validation),0.06626443598212779,0.012872302837483562,0.9971042514026891
Noveleta (Before Validation),0.06445527278140054,0.008602451675310747,0.9979423014500923
Rosario (Before Validation),0.06382044505548425,0.00845880669471508,0.9979801828532502
Silang (Before Validation),0.04743055014967766,0.00438160483448491,0.9984087032294082
Tagaytay (Before Validation),0.03350277157532373,0.0021294013991572415,0.9985923569365197
Tanza (Before Validation),0.05901250811645736,0.007105030889963982,0.9982458946888687
Ternate (Before Validation),0.05535881749896344,0.008716694314967337,0.9964089744979209
Trece Martires (Before Validation),0.059129155768544404,0.009119890084263737,0.99802945804244
