city,mean_absolute_error,mean_squared_error,r_squared
Alfonso,2.142257216619147,48.95981947435591,0.99877612252275
Carmona,1.8181677728459198,36.43941751273302,0.9991874452877502
Bacoor,2.3418734280851834,76.31445042087503,0.9981285974125051
Amadeo,0.7877875987980736,10.72760356810042,0.9995096938744742
Cavite City,1.4666663879362298,24.746580906102704,0.9993146059225892
Dasmariñas,1.4932001519418658,31.46923172739462,0.9993459040780936
General Mariano Alvarez,1.6770837886863998,31.111190021044205,0.9993167437374394
General Trias,2.2579487195581263,58.21710256777762,0.9987189877348969
Imus,2.4564145075481174,94.32110299332926,0.9976790761261372
Indang,1.056320128215647,13.161863601148806,0.9996807032128358
Kawit,2.3944060985521176,93.31577690940937,0.9977148258861643
Magallanes,1.7919881459976879,34.74841192573167,0.9992385295473382
Maragondon,1.3939075846237567,35.24985722235416,0.9990481989641528
Mendez,2.1649445575464945,52.56095883699458,0.9985853698377933
Naic,2.201619073925186,69.7807338281067,0.9983766571573401
Noveleta,2.340051063650336,77.30481896018009,0.9981030089297177
Rosario,2.3418734280851834,76.31445042087503,0.9981285974125051
Silang,1.8612216740050704,43.363351130187944,0.9989814546271225
Tagaytay,1.8201065299948231,51.43040317288373,0.9983513961219213
Tanza,2.32901747801104,82.07467389416996,0.9979699850660755
Ternate,1.438537085610333,38.53378917092385,0.9989661958087442
Trece Martires,1.8419688883559118,36.29388834399711,0.9992182337714549
