city,mean_absolute_error,mean_squared_error,r_squared
Amadeo,2.6344914868075957,66.87829331534657,0.9984940970398464
Carmona,1.7321536733042555,69.90586838419577,0.9979872430675854
Alfonso,2.8428004485045832,136.878043883071,0.9956219557069601
Bacoor,1.3486408826747387,25.565111382719156,0.9991861835844632
Cavite City,0.8482674328273224,9.160865407854418,0.9996702685776644
Dasmariñas,1.2722945374050336,32.15890938926485,0.9991092433713178
General Mariano Alvarez,1.25217521510155,30.688777627174648,0.9991017092538498
General Trias,1.7752490823277054,47.639684578116366,0.9986023004112556
Imus,1.6119849795251964,23.45861327417633,0.9992506795485493
Indang,1.7944717466540812,79.03218134362672,0.9975815859156765
Kawit,1.6185839719842383,23.06151125123971,0.9992668845262364
Magallanes,1.5989283924229611,57.82914194850772,0.9984177763023697
Maragondon,1.307846679584132,28.117115407345498,0.9990408220457871
Mendez,2.2101173815822586,84.06737596818459,0.9971065440219476
Naic,2.2832728557034896,74.52573843611523,0.9977468454146146
Noveleta,1.414885421017768,29.90112635482173,0.9990475030570815
Rosario,1.3486408826747387,25.565111382719156,0.9991861835844632
Silang,1.0998443120284864,18.999514928529,0.9994194057802204
Tagaytay,1.4788678783633826,33.256932825720185,0.9986344909635667
Tanza,1.6157839196366628,26.60519768937686,0.9991281179941962
Ternate,1.315673935128524,27.160534471455946,0.9990793827754265
Trece Martires,1.4292871672163596,41.2895553118343,0.9988081113827691
