city,mean_absolute_error,mean_squared_error,r_squared
Amadeo (Before Validation),0.049247430578945504,0.011847097467592936,0.9958980398365606
Carmona (Before Validation),0.06320505337983928,0.0132992713857335,0.9971229194658133
Alfonso (Before Validation),0.04275830385372168,0.004616812694047993,0.9983841668271048
Bacoor (Before Validation),0.06869786716336806,0.012099105209645834,0.9976719594432447
Cavite City (Before Validation),0.04056117144565866,0.00407167272763375,0.997621764210216
Dasmariñas (Before Validation),0.06015205987591277,0.014036468255123072,0.9975885934702792
General Mariano Alvarez (Before Validation),0.0497583966837775,0.009783469907336716,0.998074531047885
General Trias (Before Validation),0.07298709643941254,0.014996581924948743,0.9977128964524881
Imus (Before Validation),0.06167738500704929,0.009066024237267817,0.9982404299185754
Indang (Before Validation),0.05068387719853704,0.010449119098807264,0.9968305826417911
Kawit (Before Validation),0.06533125044439676,0.011519556698970417,0.9977911188011003
Magallanes (Before Validation),0.059869122144588026,0.007755372765331693,0.9982994911090177
Maragondon (Before Validation),0.05222202956591514,0.012224572012235329,0.9955759964186597
Mendez (Before Validation),0.038734738694473955,0.0039316939247190765,0.9983930484403802
Naic (Before Validation),0.07769346162799184,0.013226051032387671,0.9975908626999234
Noveleta (Before Validation),0.06953554639216086,0.012078322830496127,0.9976719393185512
Rosario (Before Validation),0.06869786716336806,0.012099105209645834,0.9976719594432447
Silang (Before Validation),0.04608223880713866,0.005355123637586484,0.998648936344042
Tagaytay (Before Validation),0.03259496835110922,0.0020798566664085943,0.9989595369988021
Tanza (Before Validation),0.08678926325258984,0.017532581735984584,0.9967610568542625
Ternate (Before Validation),0.05226658726673479,0.012417532363924616,0.9955782106765461
Trece Martires (Before Validation),0.06876111407631591,0.01480672580934707,0.9975618283924341
