city,mean_absolute_error,mean_squared_error,r_squared
Amadeo,2.199017879868378,51.55481062865518,0.9987466097501612
Alfonso,3.290964318146157,180.25178248386595,0.9955181086296666
Carmona,2.16106793440631,63.910998640939525,0.9985161637136504
Bacoor,1.6128333316463892,33.05267867000776,0.9991464959779681
Cavite City,1.4152884633001122,28.748558681842194,0.9991934056490857
Dasmariñas,1.6365012919204374,34.85138517561438,0.999209295594277
General Mariano Alvarez,1.3332608231512837,22.269485468539013,0.9994668490970797
General Trias,1.0734179376459503,10.195367107409965,0.999760453774294
Imus,1.6764271379646845,34.18361383185331,0.9991143434169808
Indang,2.711399230803586,83.30952714090205,0.9979941239442449
Kawit,1.590855927379459,30.500758845914227,0.9992134424423964
Magallanes,4.013679397330421,249.41670609202507,0.9946164906643892
Maragondon,1.2322558643821564,25.346025325534036,0.9993218361414604
Mendez,2.9370066639526375,155.01822260425675,0.9958611390572404
Naic,1.8576008090148168,54.42997979724973,0.998703639889609
Noveleta,1.547075607069496,31.42091249193057,0.9991880910479668
Rosario,1.6128333316463892,33.05267867000776,0.9991464959779681
Silang,2.154334287707684,58.99035763107326,0.9985358855317219
Tagaytay,2.4225891521460645,74.25157907745836,0.9976962180958077
Tanza,1.471910059136883,33.93270327763284,0.9991273282515063
Ternate,1.513483085118025,35.88259174998307,0.9990458844137866
Trece Martires,2.397293926581405,71.45758017996509,0.9983308659574613
