city,mean_absolute_error,mean_squared_error,r_squared
Amadeo (Before Validation),1.8300937187640083,65.26898579223838,0.9975843357135733
Bacoor (Before Validation),2.147533410523742,83.44429023394781,0.9977246873497297
Alfonso (Before Validation),2.0553146002723612,59.14423030334991,0.9984488524697916
Carmona (Before Validation),1.6842367352464827,60.508930305124146,0.9985053823608144
Cavite City (Before Validation),1.4540458538816075,51.18418962841741,0.998473406617194
Dasmariñas (Before Validation),1.335962895576286,28.902872658833484,0.999317849619948
General Mariano Alvarez (Before Validation),1.1482145698445123,17.65685694678245,0.9995600889678378
General Trias (Before Validation),1.8117237865373677,46.843176872720896,0.9988380995434288
Imus (Before Validation),2.13262827558,81.33204960811905,0.9977748152954125
Indang (Before Validation),2.6845160121750165,100.65667937576936,0.9975098841709557
Kawit (Before Validation),2.144082782388778,82.74229628486383,0.9977468587082884
Magallanes (Before Validation),2.5610794628698637,106.36007330931815,0.9975215983531048
Maragondon (Before Validation),2.048121676106595,70.54087147246257,0.9979676803359605
Mendez (Before Validation),1.9827719963966455,62.89039318665088,0.9982278752975344
Naic (Before Validation),2.5198550327216807,97.05606778725033,0.9975728550461137
Noveleta (Before Validation),2.148075081728135,82.62830114167318,0.9977454221915957
Rosario (Before Validation),2.147533410523742,83.44429023394781,0.9977246873497297
Silang (Before Validation),2.6061104599310934,116.91437369604479,0.997026873666187
Tagaytay (Before Validation),1.9671423596297277,61.80584035754054,0.9979637878642579
Tanza (Before Validation),2.2100867340895443,109.58842362800856,0.9970469249515901
Ternate (Before Validation),2.0471569868614976,71.17261321023656,0.9979623621465
Trece Martires (Before Validation),1.6306157718737597,37.97423225997439,0.9990906410098572
