city,mean_absolute_error,mean_squared_error,r_squared
Alfonso,1.8325347133077705,32.263224827984786,0.9990528963365701
Amadeo,2.142989408904902,57.12233305708541,0.9984528605243876
Bacoor,1.221986242146955,22.45551926253658,0.9993383002028633
Carmona,1.5235697106814654,36.287384175512976,0.9990095331383355
Cavite City,1.5548821370899233,28.65024596413705,0.9990662443107553
Dasmariñas,1.0884591325702009,23.05913183381831,0.9994039538856059
General Mariano Alvarez,1.1727492078485544,26.682745647631073,0.9992714858506527
General Trias,1.364737039505863,29.403326315421708,0.9992086514250348
Imus,1.212950120745123,21.952729366579582,0.9993509103595339
Indang,1.9442113120571682,54.59825096672969,0.9984812287861565
Magallanes,1.7602598688127924,46.54173969120916,0.9988104299983227
Kawit,1.223177933277352,22.473348777066427,0.9993386753883787
Maragondon,1.1663137485126043,32.545674425844595,0.9989880455062632
Mendez,1.5067399187045536,24.691095584709167,0.9992209497022841
Noveleta,1.2073048578437877,21.96582906632318,0.9993522892754373
Naic,1.9414949892629259,70.84626962229429,0.9980491233845711
Rosario,1.221986242146955,22.45551926253658,0.9993383002028633
Silang,2.087445069270093,55.79136715057437,0.9984463642064152
Tagaytay,1.5009064336781215,34.39316728144602,0.9986865388179557
Tanza,2.2352611122293453,76.89157424651734,0.9977630346149782
Ternate,1.2813425386441322,41.60418060777495,0.9987145598552972
Trece Martires,1.31588011407268,21.965337822784836,0.9994184229469587
