city,mean_absolute_error,mean_squared_error,r_squared
Alfonso (Before Validation),1.9555727258475943,48.659809403784074,0.9989406114501956
Amadeo (Before Validation),2.8787579218269124,74.37146218144338,0.998434952868077
Carmona (Before Validation),2.9461763944703754,72.52371011932473,0.9988392756039013
Bacoor (Before Validation),2.822110778900196,69.93350778349695,0.9987742111383037
Cavite City (Before Validation),1.3496089609230675,18.603162859389702,0.9995544609934156
Dasmariñas (Before Validation),2.5680943350009895,66.6744779575324,0.9989606039127027
General Mariano Alvarez (Before Validation),2.4097412823412627,73.45471057314226,0.9985469068790451
General Trias (Before Validation),2.671917869480836,56.5774859130513,0.9990831143148134
Imus (Before Validation),2.7580794149731176,68.25549469836152,0.9987995216793083
Indang (Before Validation),2.084683978069737,52.81542572241493,0.9989125708476039
Kawit (Before Validation),2.831363671398266,70.34828118603885,0.9987686268314805
Magallanes (Before Validation),2.9568051767702195,124.60825544918922,0.9976304143825473
Maragondon (Before Validation),1.9775058905916487,49.23314526147972,0.998858861681261
Mendez (Before Validation),2.2400396822148174,59.04724085596007,0.9986160716275336
Naic (Before Validation),3.4159017438200343,103.32926577907745,0.9983054645436772
Noveleta (Before Validation),2.7913944248508455,69.56239775237141,0.998779881264811
Rosario (Before Validation),2.69296649212519,101.64293638369821,0.9978483475071043
Silang (Before Validation),3.6077597747167167,111.18663031482772,0.9980996021675383
Tagaytay (Before Validation),2.361930151166982,65.91302813076918,0.9981857448712665
Tanza (Before Validation),2.1173952910674756,61.08358501603407,0.9987172461800035
Ternate (Before Validation),1.9925389423868547,48.53907632202233,0.998882115024806
Trece Martires (Before Validation),3.177870874276367,116.65288059579251,0.9977528034667846
