city,mean_absolute_error,mean_squared_error,r_squared
Bacoor (Before Validation),0.7890972997147601,8.787674578751886,0.9996068006487224
Carmona (Before Validation),1.1138426887539057,26.484988531685747,0.9988907399752703
Amadeo (Before Validation),0.5214004524700714,15.659437258054922,0.9971715867651965
Alfonso (Before Validation),1.596643706872977,50.111644770488695,0.997915548679236
Cavite City (Before Validation),0.8314091653403216,18.25403691123936,0.9991386425826019
Dasmariñas (Before Validation),1.400764723366534,61.587063564282936,0.997620275107291
General Mariano Alvarez (Before Validation),1.5235795962683891,63.29193332772229,0.9974204297696722
General Trias (Before Validation),0.8955491200488187,16.918592416532807,0.9993163564807658
Imus (Before Validation),0.794299327472023,8.715430013768467,0.9996087421357522
Indang (Before Validation),1.1614607000083677,33.56391129530376,0.9986394398371226
Kawit (Before Validation),0.7935681131181657,8.838839174499618,0.9996050335663044
Magallanes (Before Validation),1.926696548190695,91.19415996485847,0.9968103673230375
Maragondon (Before Validation),0.6068712488442698,8.847920381081464,0.9996158581326545
Mendez (Before Validation),1.3501313218933249,41.50391780299316,0.998147677741573
Noveleta (Before Validation),0.8014958900482517,8.8710045529352,0.9996028097291612
Naic (Before Validation),1.3427063928693608,55.20616853794617,0.997827934492703
Rosario (Before Validation),0.7890972997147601,8.787674578751886,0.9996068006487224
Silang (Before Validation),1.3526457480832834,39.75567124452838,0.99839339161635
Tagaytay (Before Validation),1.2453046131143186,28.451716936815412,0.9985411263698609
Tanza (Before Validation),0.9955443765605854,16.856713137991182,0.9992864828964407
Ternate (Before Validation),0.5978575889604384,7.88969206494864,0.9996595738471533
Trece Martires (Before Validation),1.6217893522259939,58.230077183446745,0.9977632334690915
