city,mean_absolute_error,mean_squared_error,r_squared
Amadeo,0.049143910508844306,0.014784061928189986,0.9947447225326115
Alfonso,0.05730732473634853,0.007344845208192736,0.9976707529037842
Carmona,0.05888457366274926,0.007877750449599642,0.9983566229397266
Bacoor,0.06408726879731301,0.017550340368927945,0.997149684283502
Cavite City,0.03096166757370745,0.0026588655678164526,0.9984259933261402
Dasmariñas,0.06806831869639166,0.018859091308763464,0.9970925168254329
General Mariano Alvarez,0.06621527994143266,0.01501612687619695,0.9973520728909757
General Trias,0.06536622473126429,0.02204068089530423,0.9969544815786481
Imus,0.0564610883812899,0.016245287336806892,0.9973393684539397
Indang,0.04849155743077781,0.011061173443860985,0.9966542364563848
Kawit,0.06370915888525741,0.017783731649100618,0.9971214707185151
Magallanes,0.07753665696016351,0.014313026962260661,0.9975201356959394
Maragondon,0.03977252678840866,0.006349552667898802,0.9973222746237093
Mendez,0.045050062405898254,0.0035741663763327316,0.9986761784133935
Naic,0.07858466159168834,0.026823487829588245,0.9957054420975405
Noveleta,0.05691677270034318,0.016975126268562065,0.9972384666173167
Rosario,0.06408726879731301,0.017550340368927945,0.997149684283502
Silang,0.040900018013441716,0.00865783709553846,0.9978598030522859
Tagaytay,0.024776050657981462,0.001417842473762864,0.9993411606931063
Tanza,0.05174218374986037,0.009267787743894907,0.9984721198545288
Ternate,0.05663945064263324,0.009172571675742399,0.9961948098872976
Trece Martires,0.060803229519651225,0.012347874298584555,0.9980320519521134
