city,mean_absolute_error,mean_squared_error,r_squared
Amadeo (Before Validation),1.9471769366298657,45.52928758929478,0.9989432116148269
Carmona (Before Validation),1.8727301997882753,41.49249966900213,0.9990628311656569
Alfonso (Before Validation),1.8829851349020241,60.51072599036959,0.9987034936664223
Bacoor (Before Validation),1.9653583571488593,48.268190374119264,0.9988358363493355
Cavite City (Before Validation),1.640049734358869,31.16571037186217,0.9992586819456933
Dasmariñas (Before Validation),2.108033939678603,64.87479571955214,0.9986238168274504
General Trias (Before Validation),2.478474889828149,91.28972034024937,0.9979972099754267
General Mariano Alvarez (Before Validation),1.431662015037782,23.76582843327243,0.9995307555184129
Imus (Before Validation),1.7972512443573092,46.16409339527031,0.9988828102260124
Indang (Before Validation),2.2434682652932914,69.64208136447317,0.9986003038376045
Magallanes (Before Validation),2.1654124499962237,57.52926370437692,0.9989190172951231
Kawit (Before Validation),1.941351474917935,47.01568001406848,0.9988675781352016
Maragondon (Before Validation),1.293429333657243,17.226389888217184,0.9995991537696575
Mendez (Before Validation),1.8716818682058949,55.876317034215774,0.9987120811896734
Naic (Before Validation),2.2750145972367166,77.64897512632155,0.9982533760905864
Noveleta (Before Validation),1.9659268921968271,48.2344250320053,0.9988358633364633
Rosario (Before Validation),2.001573238182104,42.229463432779085,0.9991131386946719
Silang (Before Validation),2.2225872302538145,57.02829966226232,0.9986833642348293
Tagaytay (Before Validation),2.1988111688278793,62.365158043232576,0.9983357619164203
Tanza (Before Validation),2.2655609975678983,62.692329500941774,0.9986938239959167
Ternate (Before Validation),1.305833783171871,17.78844121257866,0.9995887157144865
Trece Martires (Before Validation),1.35869800049348,19.214633476971553,0.9996355907759332
