city,mean_absolute_error,mean_squared_error,r_squared
Amadeo (Before Validation),0.5342399546493116,12.603727050866556,0.9989309812280175
Alfonso (Before Validation),0.7438975443900587,27.92938658777221,0.997761570869594
Carmona (Before Validation),0.5574067803190514,9.672635854250363,0.9992586825530464
Bacoor (Before Validation),0.27178130758346747,1.4299282341229134,0.9998807271628838
Cavite City (Before Validation),0.37279979448662737,5.83266823991412,0.9994703537595286
Dasmariñas (Before Validation),0.88783019645322,22.6277176620752,0.9983394954207199
General Mariano Alvarez (Before Validation),0.6991758699845564,17.512215117687138,0.9986437039653268
General Trias (Before Validation),0.4761796426937096,12.935761644097093,0.99900986280687
Imus (Before Validation),0.2736896909397691,1.4202052833541488,0.9998811418698869
Indang (Before Validation),0.4795848075375734,10.966808501692082,0.9991503310570473
Kawit (Before Validation),0.2791748100685196,1.4316216016261973,0.9998807452454702
Magallanes (Before Validation),0.5310049685564189,9.18974998976698,0.9993716248794757
Maragondon (Before Validation),0.3687834232933884,4.321601494362483,0.9996243836540643
Mendez (Before Validation),0.46925816632170875,11.461964354954086,0.999013656366659
Naic (Before Validation),0.6792536705744695,22.090634949775087,0.9983519320918215
Noveleta (Before Validation),0.26961658943545846,1.430532494404053,0.9998805970683314
Rosario (Before Validation),0.27178130758346747,1.4299282341229134,0.9998807271628838
Silang (Before Validation),0.5393710400863285,8.353534399113755,0.9993514071826444
Tagaytay (Before Validation),0.34225119028329926,3.322230034551467,0.9996735926932355
Tanza (Before Validation),0.31553054017473436,1.9822792541320362,0.999836026677019
Ternate (Before Validation),0.37001819523571483,4.519727171872633,0.9996096257003809
Trece Martires (Before Validation),0.5924062863605682,11.43762060983622,0.9991617919955827
